X,Y
52,0
51,1
67,4
74,0
69,3
11,5
83,3
21,1
43,0
92,4
70,0
96,5
91,1
12,2
67,3
73,2
45,4
96,4
46,5
96,3
86,3
42,4
30,1
83,1
76,4
11,1
28,2
87,2
70,1
85,0
48,5
70,2
86,3
108,3
93,4
56,4
38,1
26,4
19,3
17,1
48,5
41,0
66,3
13,5
66,0
41,3
38,0
80,0
32,3
44,3
75,1
62,0
34,2
41,3
5,2
4,2
37,1
55,2
8,4
45,2
25,2
81,2
6,0
47,0
58,4
31,0
1,2
69,3
45,3
63,3
43,0
16,1
54,5
86,1
95,1
2,2
21,1
101,3
61,0
13,1
47,2
89,0
75,1
74,0
9,5
73,2
53,1
5,0
81,1
55,2
87,4
24,0
28,2
99,4
67,3
30,3
86,4
15,5
88,1
52,3
54,5
77,1
46,1
42,3
73,4
102,1
72,3
96,2
6,0
57,1
42,4
42,3
56,3
100,3
10,1
100,2
47,4
80,1
30,2
81,2
3,2
17,5
44,3
66,1
27,1
62,1
10,1
101,1
68,3
38,2
97,2
74,3
90,0
51,5
99,1
29,1
82,0
58,3
30,3
21,0
49,1
62,4
74,4
43,2
18,4
94,3
50,2
19,3
2,4
53,2
80,3
39,2
62,2
6,3
45,1
24,1
53,3
50,2
64,1
64,2
86,5
31,2
26,0
4,4
6,5
97,0
100,0
21,3
49,1
79,2
25,5
96,1
73,4
31,2
73,1
52,4
76,1
64,2
15,0
101,4
10,4
71,2
18,3
93,1
86,3
83,2
60,4
16,3
29,4
29,5
30,5
25,1
81,0
61,4
68,4
85,3
37,4
38,2
72,4
88,3
39,2
13,0
78,1
64,1
24,1
85,3
41,3
21,3
44,1
58,2
88,3
12,1
41,3
99,3
4,4
98,4
49,4
88,5
28,3
75,3
85,2
11,2
77,2
40,2
92,2
67,5
74,4
90,3
46,0
40,5
12,0
88,2
10,2
57,2
45,2
28,2
10,4
29,2
92,1
89,4
32,1
55,3
52,0
53,2
24,2
57,2
33,3
68,4
42,2
43,1
11,3
80,0
45,4
32,4
10,5
49,3
94,3
54,5
5,4
38,5
17,3
11,4
31,4
47,4
77,2
44,4
61,1
91,2
100,1
49,4
43,0
41,4
94,1
33,3
13,2
36,3
6,3
83,0
39,3
72,0
54,4
83,2
70,2
10,2
69,5
5,3
84,4
43,1
97,0
47,2
42,0
56,0
26,0
69,1
37,4
32,4
33,4
36,4
24,4
23,1
94,2
93,2
11,2
72,5
20,3
45,3
75,1
93,1
86,2
41,2
48,3
83,1
28,1
35,1
23,4
74,0
79,3
24,4
98,4
47,1
86,3
51,3
49,0
99,1
53,1
24,4
79,5
94,2
102,4
96,3
73,4
30,1
84,1
63,2
8,5
90,4
67,0
16,3
45,4
94,1
24,2
71,5
71,4
58,4
10,1
62,0
92,2
100,4
87,3
39,3
22,3
74,3
80,2
95,0
16,4
58,1
84,4
61,4
71,0
76,0
93,1
44,1
30,1
33,1
50,2
15,3
86,2
31,2
25,4
84,2
69,4
25,3
102,4
91,4
16,1
74,4
65,1
22,0
12,4
8,2
11,4
79,3
83,0
62,3
18,3
7,3
45,4
93,1
48,2
35,1
80,4
59,4
55,2
97,0
58,2
99,3
25,1
39,2
60,3
39,5
53,4
63,5
47,3
56,2
22,1
46,4
95,2
69,4
74,2
55,3
53,5
101,3
68,2
82,1
31,3
38,0
66,4
54,2
80,3
45,2
15,0
79,5
43,1
43,0
13,2
22,1
14,2
87,4
28,3
88,4
98,1
