X,Y
53,0
53,2
67,4
71,0
74,3
16,4
84,4
22,0
43,1
94,5
79,0
90,4
97,0
12,2
60,4
67,1
44,4
96,5
51,4
88,3
88,3
45,4
33,1
85,0
78,4
14,0
20,1
80,2
69,2
85,1
47,4
72,2
91,3
100,4
93,4
55,4
34,1
19,4
27,4
18,2
40,4
39,0
71,2
9,4
58,0
36,3
40,1
77,0
32,4
39,4
83,1
59,1
30,1
36,2
3,3
0,2
38,2
58,2
14,3
46,2
20,1
88,2
8,0
42,1
66,3
37,0
4,1
66,3
43,2
59,3
42,0
13,1
51,5
89,1
95,0
2,2
14,0
105,3
62,0
20,2
45,2
84,0
82,1
75,0
15,4
70,2
53,1
9,0
76,2
58,3
82,4
24,1
27,2
103,5
61,4
28,2
82,4
18,5
92,2
52,3
56,5
76,2
41,1
35,3
64,4
98,0
73,3
97,1
3,1
51,0
41,4
42,3
50,2
98,4
3,0
106,3
46,3
83,0
30,2
77,2
7,1
14,4
52,3
60,2
26,2
68,0
5,1
104,2
65,3
43,2
100,2
67,2
83,0
48,5
108,2
24,1
85,0
52,4
27,3
22,0
45,0
66,5
73,5
44,3
13,5
91,3
50,2
11,4
6,4
58,2
89,3
41,1
63,2
5,3
45,1
21,0
53,3
49,2
61,1
65,2
80,4
30,1
26,1
3,4
4,4
101,0
98,1
21,3
46,1
77,3
26,5
99,0
77,4
29,1
70,1
53,4
71,0
66,1
15,1
101,5
6,5
73,2
15,3
90,1
80,4
82,3
60,3
24,3
27,5
30,4
25,4
26,0
81,0
60,4
69,3
91,4
35,4
34,2
75,4
89,4
37,1
15,0
77,2
62,1
33,1
84,2
42,3
19,3
42,2
63,3
79,4
14,0
44,2
94,3
10,4
104,3
46,4
92,5
26,3
73,4
88,2
6,2
79,3
39,3
86,3
65,5
72,5
93,3
46,1
40,4
12,1
92,3
10,2
59,1
43,2
36,3
2,4
34,2
92,2
95,3
29,2
56,4
51,0
50,2
26,1
59,2
33,3
73,4
39,1
48,2
11,3
77,0
44,4
27,3
8,4
48,3
96,2
58,4
4,4
39,5
15,4
12,5
34,4
54,4
76,3
41,4
69,2
89,1
99,2
51,5
43,0
39,3
95,2
39,4
13,1
36,3
5,4
79,1
40,3
70,1
57,4
86,2
65,2
10,3
62,4
5,2
90,3
44,0
94,0
41,2
44,1
55,1
30,0
71,2
35,3
34,5
34,5
40,4
24,3
19,1
98,2
84,1
8,2
70,5
14,4
46,2
75,1
98,2
87,2
47,3
40,3
82,1
24,0
34,1
17,4
78,1
75,3
19,3
92,4
44,1
92,3
56,2
47,1
95,1
54,1
30,4
76,5
92,1
102,4
95,3
82,5
36,1
90,0
66,2
6,4
87,5
66,0
19,3
44,4
101,1
26,1
70,4
76,4
59,3
17,1
61,1
99,1
102,5
89,3
35,2
24,3
75,2
73,2
91,1
13,4
66,0
81,5
59,4
69,1
83,0
93,2
39,0
28,1
38,2
49,2
19,3
92,2
31,2
21,3
85,2
71,4
22,3
107,4
92,4
8,0
79,5
65,0
14,0
12,4
6,2
13,5
79,3
84,1
56,3
11,2
4,4
40,4
92,1
54,3
30,1
79,3
61,5
56,2
97,1
60,3
105,2
18,1
34,2
55,4
31,4
53,4
63,5
47,2
63,2
23,1
47,5
90,2
73,3
79,1
54,2
53,5
97,4
63,2
84,1
32,3
40,0
63,4
53,2
75,3
46,2
20,0
76,4
47,0
45,0
16,1
13,1
16,1
86,5
27,3
84,3
98,1
11,3
104,2
9,0
83,0
80,3
86,4
95,5
71,1
64,0
19,4
61,5
31,5
32,5
9,4
58,1
94,2
33,4
59,4
25,2
24,4
106,0
64,3
29,3
34,1
36,2
39,0
56,2
59,3
87,4
7,3
18,2
54,4
8,1
92,3
40,4
89,1
27,3
9,2
51,1
70,1
21,1
37,1
75,1
87,4
48,3
14,2
96,3
94,5
51,2
65,2
40,5
21,3
76,3
14,5
65,1
99,0
35,5
90,4
82,4
18,1
83,1
98,2
104,2
52,3
11,3
13,4
65,2
10,2
2,0
40,3
26,5
66,1
44,2
108,3
72,0
6,2
3,5
105,2
40,0
68,2
40,2
34,2
73,2
31,4
100,4
60,4
76,3
53,4
70,2
37,1
11,0
94,5
72,3
88,1
10,2
71,3
86,1
93,2
75,2
93,1
77,3
89,3
98,3
2,2
13,3
98,4
35,3
78,1
83,5
14,1
28,2
93,0
14,4
47,4
52,0
7,3
54,1
38,1
90,3
77,5
104,4
89,2
105,4
86,0
31,2
84,5
40,2
78,2
101,0
46,1
64,2
60,4
52,2
51,4
12,2
57,1
100,5
98,3
22,4
43,5
66,0
22,1
48,3
59,3
79,4
39,5
67,4
4,4
81,2
31,5
94,3
105,2
44,1
73,2
97,0
59,3
26,0
28,3
83,0
88,4
103,2
92,5
59,3
51,5
83,4
61,1
60,4
49,1
8,3
13,0
77,2
13,1
74,1
97,2
9,3
53,3
33,2
20,5
49,3
39,0
59,4
52,0
82,2
11,1
98,1
69,3
45,3
71,2
96,2
81,2
99,5
36,0
98,3
56,1
49,1
96,3
35,2
13,2
97,1
81,2
69,1
81,5
14,3
93,3
34,0
62,2
73,3
68,3
73,5
95,4
39,1
79,0
12,4
69,5
38,2
47,2
87,4
89,4
73,1
21,1
8,2
33,4
13,0
75,5
96,3
98,2
77,1
74,2
60,0
83,3
21,3
34,3
83,3
40,2
15,1
25,0
28,5
49,3
92,1
18,4
28,5
45,5
2,2
6,3
70,2
15,2
96,3
83,0
58,3
86,1
67,3
73,2
79,4
54,3
6,1
51,0
64,4
43,4
75,5
11,5
58,2
96,2
92,4
8,0
83,3
82,1
72,1
59,1
5,2
25,2
71,4
68,1
98,0
24,0
10,1
78,1
47,3
44,5
62,3
57,4
64,1
28,1
39,3
21,4
105,3
81,0
8,2
60,2
54,0
36,3
89,3
29,4
18,1
48,4
32,3
36,1
91,0
27,2
48,1
58,4
69,4
82,0
77,2
25,4
12,4
11,3
9,3
53,4
83,3
42,4
54,0
86,1
53,4
50,5
75,3
94,4
52,4
30,2
4,4
82,4
91,2
73,2
24,1
86,4
45,2
36,3
29,0
93,0
56,5
48,4
68,4
11,4
3,1
91,1
99,1
74,4
17,0
16,1
101,3
38,4
48,1
32,3
33,1
26,1
103,4
90,1
50,3
92,4
91,1
25,0
101,1
37,4
80,4
20,4
31,0
33,4
45,4
31,5
27,2
21,4
72,1
45,4
87,1
49,0
63,2
6,2
17,0
76,2
13,2
91,3
108,4
63,2
74,5
22,3
34,4
52,4
29,2
49,5
7,4
66,1
105,5
14,0
19,5
36,3
24,4
21,5
7,1
39,3
9,3
14,5
14,1
13,0
44,5
78,4
89,2
50,5
51,4
9,3
80,4
32,4
14,2
73,4
10,3
58,2
73,2
44,0
87,2
68,1
78,5
50,0
84,1
26,1
26,4
94,5
17,2
103,1
95,0
93,1
9,4
51,3
41,3
28,2
33,3
13,3
18,1
72,2
40,4
65,4
95,2
103,0
88,3
40,2
62,3
16,5
21,2
101,3
64,1
35,1
94,1
22,3
28,3
8,0
45,0
83,0
6,2
92,1
77,1
26,3
87,4
12,4
7,0
52,1
89,3
35,1
3,2
95,1
83,0
76,4
8,4
65,5
76,2
16,4
75,4
93,2
59,3
71,1
65,1
55,1
17,4
57,1
18,2
62,2
84,4
87,2
35,2
4,2
20,3
75,2
70,2
26,4
93,0
7,0
27,4
104,4
31,3
87,5
31,1
56,3
19,0
94,1
81,2
33,0
94,5
43,5
63,2
90,4
35,5
78,1
66,4
38,1
73,1
55,0
19,1
27,0
13,0
101,2
90,3
78,1
1,1
29,0
7,1
87,2
45,4
31,2
34,2
24,2
11,2
25,3
75,3
75,1
91,4
62,1
101,1
50,5
42,1
60,5
87,2
51,3
49,4
67,4
101,1
31,5
101,3
97,2
45,5
97,1
20,5
107,4
45,5
38,3
69,5
32,2
81,4
1,1
94,1
37,3
65,1
33,0
90,1
93,0
13,2
96,4
81,1
45,0
19,1
82,1
45,4
76,2
27,3
26,4
14,1
11,4
42,4
9,1
26,2
53,2
74,1
55,4
104,4
91,1
95,3
21,3
11,0
8,4
12,2
9,0
44,3
47,1
72,2
66,2
37,3
10,2
14,1
47,5
36,5
90,3
52,5
81,2
92,2
17,1
9,0
50,5
25,1
98,4
9,1
