X,Y
47,0
49,2
66,4
69,0
68,4
18,5
85,4
21,0
41,1
95,5
75,0
97,5
93,0
19,3
65,4
69,2
43,4
92,4
52,4
94,4
86,3
44,4
32,1
79,0
78,5
16,1
21,2
88,2
69,1
81,1
52,5
67,2
89,3
104,4
90,4
56,4
36,2
25,4
21,4
23,2
46,4
41,0
67,3
17,4
63,1
34,2
35,0
82,0
26,3
44,4
79,2
56,0
31,2
36,3
6,3
8,1
44,2
62,3
11,3
40,3
20,1
81,2
5,1
47,1
67,3
40,0
7,2
74,3
49,3
61,2
39,1
20,1
49,4
85,1
98,0
5,2
19,0
108,2
55,0
17,2
48,2
84,1
82,1
74,1
9,5
71,2
51,0
6,1
78,1
60,2
83,4
18,0
23,1
106,5
60,4
29,2
80,4
15,5
86,1
52,3
57,4
77,2
50,2
39,3
73,4
101,0
69,3
100,2
1,1
57,0
42,4
40,3
52,3
102,3
7,1
102,2
51,4
83,0
24,2
81,3
4,1
16,5
51,2
58,1
30,2
64,0
5,0
98,2
63,2
41,2
102,3
74,2
84,1
47,4
105,1
24,0
86,0
55,3
28,2
22,0
46,0
59,5
68,4
40,2
12,5
89,3
46,2
18,4
5,4
59,2
85,2
41,1
62,2
2,2
39,2
20,1
54,3
42,1
61,2
65,2
86,5
35,1
31,1
5,3
4,4
103,0
103,1
16,3
40,1
80,2
20,4
98,1
76,4
31,1
70,1
57,4
74,0
69,1
20,1
103,5
5,4
73,2
20,3
93,1
81,3
75,3
58,3
25,3
27,4
38,4
30,4
31,1
86,1
65,5
64,4
83,4
39,5
35,2
77,4
85,4
34,2
21,0
72,2
65,0
24,1
86,3
46,3
20,2
48,2
56,2
80,4
15,1
45,2
93,4
8,4
101,3
51,4
92,5
24,3
74,3
88,2
6,1
85,3
35,3
94,3
62,5
71,5
89,3
44,1
41,4
16,0
92,3
11,3
60,2
40,2
32,2
2,3
36,2
88,2
90,4
30,2
59,3
58,0
46,2
24,1
61,2
35,4
70,4
35,1
48,1
13,4
76,1
45,5
26,3
5,5
54,3
93,2
55,5
3,3
31,4
14,4
17,5
30,3
47,4
80,2
44,4
70,1
85,1
102,1
51,5
35,0
41,4
94,2
35,3
13,2
42,3
2,4
76,1
37,3
74,1
62,3
85,2
70,2
12,3
61,5
5,2
89,4
36,1
100,0
40,1
37,0
50,0
33,0
67,1
41,4
32,5
35,4
38,3
26,3
22,1
96,2
88,1
9,3
75,4
20,4
51,2
67,1
96,2
91,2
39,3
43,3
82,1
26,1
33,1
19,4
74,1
71,3
24,4
92,4
52,1
84,3
51,3
48,0
99,0
55,0
28,3
77,5
91,2
99,4
91,3
76,4
29,1
90,0
59,3
0,5
92,5
63,0
21,3
45,4
99,1
27,2
72,4
70,4
58,4
12,1
63,0
98,1
97,4
94,2
36,2
26,2
76,2
72,2
90,0
17,4
59,1
90,4
57,4
65,0
79,0
99,1
38,0
28,1
37,1
45,2
23,3
90,2
37,3
26,3
91,3
76,5
30,3
101,4
90,4
10,1
77,5
66,0
14,0
11,4
4,3
11,5
81,4
87,0
62,3
15,3
4,4
48,3
93,1
47,2
30,1
74,3
55,4
56,2
91,0
58,3
103,2
25,0
43,3
51,4
35,4
55,4
67,4
48,3
61,3
26,0
54,4
92,2
73,3
74,2
62,3
54,5
101,4
59,3
87,1
34,3
42,1
60,4
52,1
77,3
51,2
14,1
77,4
43,1
42,1
12,2
17,1
9,1
86,4
22,2
87,4
95,0
10,3
108,1
11,1
86,0
74,3
84,5
97,5
72,0
68,1
21,4
63,5
28,5
31,5
13,4
58,2
95,1
32,4
62,4
33,1
28,3
103,0
65,4
27,3
33,1
36,2
35,0
58,1
56,2
89,5
12,3
16,1
56,5
2,0
83,4
38,5
84,1
25,2
9,1
49,1
73,2
21,1
37,0
68,2
88,5
55,4
16,2
98,3
99,4
44,1
69,2
33,4
26,3
78,3
18,4
61,0
93,0
41,5
89,5
83,3
18,2
81,0
102,3
103,2
48,3
7,3
19,3
65,3
8,2
9,0
48,4
33,4
67,1
45,3
105,3
72,1
10,2
5,4
101,1
49,0
60,3
41,1
35,2
71,3
27,3
100,4
58,5
82,3
55,3
78,2
38,1
13,0
103,4
79,3
93,0
15,2
74,4
87,1
94,2
67,1
92,1
74,4
88,3
96,3
8,1
7,4
99,4
36,3
77,2
91,4
12,1
24,2
100,0
11,4
45,4
51,0
9,3
60,0
45,0
93,2
80,4
98,4
95,2
98,4
88,1
32,2
83,5
35,2
76,2
104,1
48,2
67,2
65,5
57,3
47,4
5,1
58,1
94,5
94,3
21,4
41,5
69,0
28,1
54,3
60,4
82,4
44,5
62,4
5,4
78,2
36,4
95,4
101,1
43,1
80,1
95,1
57,4
31,1
31,2
80,1
86,4
107,2
98,5
53,4
53,5
88,4
68,1
63,5
49,1
4,4
12,0
77,3
20,1
72,1
103,2
10,3
49,3
39,3
15,5
50,4
46,0
56,4
46,1
86,2
15,2
101,2
70,4
45,3
67,3
100,2
80,2
92,5
31,1
98,4
52,0
54,1
97,3
42,1
17,3
101,1
82,2
70,1
75,4
10,2
91,3
36,1
65,1
66,2
70,3
73,5
90,5
34,2
85,1
10,5
68,5
44,2
45,2
91,3
93,4
71,1
29,1
12,3
37,3
13,1
73,4
101,3
97,1
72,0
77,3
56,0
80,2
30,2
35,4
86,3
35,1
9,1
29,0
21,5
49,3
89,2
22,5
30,4
38,4
10,1
9,3
77,1
19,2
98,4
77,0
56,3
80,1
71,3
80,2
71,4
51,3
6,2
56,0
67,4
43,5
67,5
18,5
57,1
100,3
91,3
4,1
85,3
83,1
77,1
63,1
13,2
22,2
70,3
67,1
95,0
29,1
3,1
74,1
43,4
36,5
58,3
58,3
55,0
24,1
41,4
19,5
100,3
82,1
15,3
57,1
51,0
34,4
88,3
38,3
18,2
48,4
40,2
34,2
92,1
29,2
55,1
57,4
64,3
80,1
75,2
23,4
9,4
14,3
11,3
55,5
81,4
45,5
51,1
83,2
52,4
53,5
74,4
94,5
51,5
30,1
8,5
75,3
88,2
67,2
23,0
82,4
48,2
32,4
29,0
92,0
54,5
50,4
72,4
15,4
4,1
97,1
93,2
71,4
17,0
12,1
101,3
46,4
40,1
38,2
39,2
28,0
104,4
90,0
50,2
90,4
89,2
28,1
97,1
33,4
75,5
21,5
27,1
30,4
40,4
34,5
29,2
20,5
73,1
45,5
87,1
51,1
56,1
2,3
