X,Y
44,1
47,2
67,4
69,0
73,4
14,5
92,4
24,0
37,1
96,4
74,0
97,5
96,0
21,3
61,4
68,2
46,3
89,4
55,4
91,3
87,4
37,4
34,1
80,1
77,5
12,1
27,1
81,1
74,1
85,0
50,5
70,1
90,3
104,3
90,4
57,3
32,1
25,5
21,4
20,1
44,5
36,0
74,2
9,5
65,0
40,3
33,0
81,1
23,4
44,3
77,1
62,1
34,1
40,3
9,2
8,2
37,1
62,2
9,3
42,3
19,1
82,2
5,0
43,1
67,3
36,0
2,2
72,3
42,3
60,3
41,1
12,1
48,5
86,0
94,0
1,2
19,1
100,2
60,0
13,2
44,1
89,1
83,1
68,0
13,4
75,1
53,1
9,0
81,2
61,3
82,4
19,0
28,2
101,4
67,4
28,2
88,4
20,5
85,1
55,3
52,4
77,1
42,2
44,4
67,4
101,0
76,3
101,1
4,0
52,0
43,4
41,4
52,3
102,3
6,0
104,3
48,3
78,0
26,2
81,3
0,1
16,4
49,2
62,1
24,2
64,0
7,0
100,1
68,2
44,3
100,2
73,2
91,0
47,4
100,1
20,1
88,1
56,3
27,3
16,0
41,0
63,5
71,5
40,2
10,5
90,3
51,1
15,3
9,4
60,2
85,3
39,1
58,2
0,3
47,1
26,0
48,3
43,2
57,2
64,2
78,4
34,1
31,0
9,4
7,5
99,1
98,1
18,2
43,1
78,3
26,5
98,1
74,4
31,2
70,1
54,4
70,0
62,2
23,1
105,4
6,5
67,2
11,2
92,2
84,3
75,2
62,3
18,2
25,5
34,4
29,4
32,1
82,1
60,5
67,3
83,4
41,4
41,2
71,4
85,4
33,2
15,1
73,2
61,0
25,0
81,3
50,2
18,2
47,2
59,3
88,3
11,0
47,3
98,4
8,4
95,4
45,4
96,5
25,3
72,3
86,3
4,1
85,2
37,3
92,2
66,5
73,4
91,3
45,0
33,4
14,0
87,2
10,2
55,1
43,2
37,2
11,4
36,2
86,2
96,3
27,1
53,3
60,0
48,1
21,1
54,1
34,3
75,3
43,1
46,2
15,4
75,0
43,4
25,4
4,5
49,2
94,2
50,5
12,3
37,5
16,3
11,5
33,4
52,3
75,3
45,3
63,1
93,2
97,1
52,5
40,1
40,3
95,2
38,4
6,1
39,2
3,3
75,1
43,3
77,0
53,4
83,2
71,1
9,2
68,5
7,2
81,4
38,1
94,0
41,1
40,0
57,1
33,0
73,2
39,3
37,4
31,5
41,4
22,4
21,0
100,1
92,1
9,3
69,5
19,3
46,2
67,2
92,2
87,2
47,2
44,4
83,1
30,0
33,1
26,4
77,0
79,3
19,4
95,4
45,1
88,3
51,2
46,0
99,1
52,0
22,4
76,4
92,1
96,4
96,3
76,5
32,0
81,0
63,3
0,5
89,5
65,0
20,4
37,4
101,0
31,1
64,4
70,4
52,3
16,1
57,1
91,2
101,5
96,2
36,2
24,2
74,3
78,3
93,1
21,4
61,0
89,4
57,4
66,1
79,1
94,1
40,0
26,0
35,1
42,2
21,2
91,1
34,2
26,4
90,2
68,5
22,3
101,5
88,3
13,1
76,4
66,1
22,0
12,4
4,3
12,4
79,3
85,0
61,4
20,3
12,3
40,3
100,2
54,2
26,2
77,4
56,5
53,1
99,0
60,2
103,3
25,0
40,3
57,4
38,5
58,4
58,4
48,3
55,3
19,1
50,5
89,1
72,3
74,2
55,2
51,5
97,3
62,3
82,1
28,3
44,1
64,5
55,1
75,4
48,2
17,0
76,5
39,1
43,0
15,1
15,1
13,2
82,4
23,2
82,3
97,0
16,2
104,2
11,1
83,0
71,4
86,4
92,5
67,0
62,1
17,3
64,5
30,4
29,5
5,3
54,1
90,2
39,3
57,4
34,1
23,4
105,0
63,4
29,3
33,1
38,2
33,0
60,1
52,2
95,4
14,3
15,2
59,5
5,1
86,4
39,5
87,1
27,2
12,1
45,1
65,2
29,1
36,1
76,1
85,4
47,3
11,3
96,3
95,5
50,1
70,3
36,4
27,3
70,3
15,4
64,0
99,0
39,4
86,5
78,4
27,1
77,0
99,2
104,1
45,4
3,3
16,4
60,2
9,2
3,1
39,4
25,4
67,1
39,3
102,4
75,0
14,2
8,4
98,2
49,0
67,3
42,2
33,2
71,3
33,3
105,4
56,5
78,2
56,4
77,3
41,1
15,1
101,5
75,4
84,1
16,2
72,4
93,1
100,1
75,2
93,0
77,3
89,2
101,3
0,1
9,4
97,5
38,3
79,2
83,4
7,0
22,3
97,0
17,3
52,4
47,0
5,3
60,0
42,0
95,3
76,4
99,3
94,1
96,3
83,0
26,1
83,5
35,2
75,2
101,1
44,1
59,2
66,4
55,2
51,4
9,1
62,0
102,4
96,3
20,5
38,5
66,0
27,1
49,2
59,4
88,4
38,4
67,4
8,5
79,3
31,4
96,3
107,2
39,2
79,1
97,0
63,4
31,0
25,2
80,0
81,4
105,2
96,4
56,3
50,5
86,4
66,2
62,5
54,1
1,3
17,0
79,2
17,1
72,2
95,1
11,3
51,3
30,3
24,4
46,4
45,0
62,3
47,0
86,1
8,1
99,2
68,3
47,3
66,3
98,2
87,1
97,4
34,1
95,3
58,1
51,1
101,4
35,2
13,3
98,2
85,1
75,1
72,4
10,2
96,3
31,0
59,2
70,3
72,3
78,4
95,4
43,1
87,0
10,4
61,5
40,3
45,2
90,4
89,5
78,1
28,2
7,2
34,4
7,0
72,4
95,2
92,2
73,0
80,2
58,0
82,3
27,3
34,4
90,4
43,1
12,1
27,0
21,4
53,4
89,2
24,4
29,4
46,5
5,1
7,3
70,2
16,1
94,4
74,0
61,3
80,1
63,4
78,3
77,3
52,3
10,2
54,1
68,4
50,4
72,4
12,5
64,2
99,2
93,3
6,1
82,3
91,1
69,1
59,1
10,2
18,2
72,4
70,2
94,0
28,0
10,0
74,2
47,3
45,4
61,4
50,4
63,1
33,0
38,3
27,5
104,3
85,0
16,2
55,2
53,0
39,4
89,2
36,4
14,1
48,5
40,2
37,1
95,0
30,1
48,1
60,3
70,3
82,0
76,1
21,4
8,3
13,4
3,3
51,5
77,4
39,5
49,1
82,1
59,4
55,4
71,4
91,5
56,4
30,1
5,4
74,4
90,3
68,3
29,0
88,4
49,2
32,3
29,0
96,1
58,4
52,5
66,5
9,3
2,2
92,0
92,2
68,4
19,1
13,1
104,3
38,3
40,0
39,2
34,1
30,1
108,3
96,0
50,3
89,4
89,1
28,1
98,1
31,3
73,4
19,5
30,1
26,4
41,3
36,5
33,1
22,4
73,1
50,5
91,2
53,0
57,1
4,2
18,0
70,1
15,3
93,2
99,4
66,1
74,4
22,2
42,4
59,3
25,2
48,4
1,4
68,0
102,5
20,1
19,4
42,3
28,4
17,5
8,1
44,3
4,2
12,5
11,0
15,0
38,4
76,3
88,3
57,5
56,3
3,3
81,4
30,4
12,3
77,3
9,3
55,2
66,3
47,0
88,2
62,0
85,4
49,0
76,2
24,1
25,5
92,5
21,3
96,0
94,0
88,2
10,3
55,4
43,3
33,2
34,4
12,3
16,0
63,2
44,4
60,5
103,1
103,0
84,4
33,1
71,2
16,4
18,2
101,3
71,0
32,0
92,0
29,3
22,3
5,1
44,1
91,1
7,2
101,1
83,0
26,3
89,5
16,4
13,0
57,1
86,3
34,2
2,2
92,2
79,0
82,5
5,4
66,5
74,2
21,5
80,4
91,2
63,2
64,0
63,2
49,0
17,4
59,2
12,2
67,1
82,4
78,2
36,1
13,2
22,3
77,2
69,2
28,5
91,1
12,1
22,4
102,4
37,3
80,4
32,0
49,2
19,0
93,2
86,3
37,1
96,4
38,4
56,1
87,3
43,5
75,0
64,4
37,1
68,1
58,0
16,2
20,0
11,0
105,1
81,3
77,1
9,1
32,1
11,1
84,2
42,5
29,2
31,1
27,3
4,3
21,3
81,3
75,1
89,4
66,2
96,1
44,4
41,1
63,5
87,2
60,2
43,4
62,4
98,1
29,5
106,3
99,2
38,5
93,2
21,5
108,5
42,5
29,4
68,5
25,3
76,5
8,0
96,1
46,3
70,0
32,0
92,2
96,1
6,3
89,5
85,0
42,1
25,2
85,0
52,4
72,2
27,4
22,5
20,1
17,4
40,4
16,1
28,2
56,2
74,1
59,5
101,4
86,2
90,2
30,2
9,0
14,4
18,2
9,0
42,2
42,1
72,2
63,2
39,3
14,1
11,1
40,4
36,5
89,3
54,5
88,3
89,2
17,2
11,1
49,5
26,1
102,5
9,0
90,1
4,4
80,0
18,1
14,4
84,5
26,4
76,4
52,1
103,3
29,2
21,4
46,1
59,3
24,3
98,1
94,0
63,4
70,3
106,4
20,3
106,2
106,2
21,5
18,4
105,2
31,0
99,0
97,4
51,3
10,3
91,0
88,0
40,3
58,2
19,1
27,4
95,3
4,1
95,3
51,1
38,4
3,5
8,0
72,4
20,1
78,2
40,0
60,2
12,4
60,4
56,3
36,3
57,3
13,3
73,4
86,0
64,3
90,2
76,1
90,2
59,5
99,3
14,1
87,3
85,4
92,1
9,5
41,4
11,4
32,2
82,0
14,1
79,4
15,2
22,2
62,1
63,1
59,1
4,1
20,1
55,4
37,1
66,4
86,5
95,0
74,0
