X,Y
50,1
51,1
68,4
71,1
69,4
9,4
87,4
30,0
43,0
89,4
75,1
96,4
96,0
14,2
65,3
68,2
47,3
91,5
50,5
90,4
90,3
44,4
31,1
80,1
77,5
17,1
29,1
80,2
70,1
85,0
55,5
64,2
84,4
99,3
94,4
53,4
36,1
19,4
26,3
19,2
46,5
39,1
73,3
18,4
59,0
35,3
40,0
80,0
23,4
37,4
79,2
56,0
30,2
36,3
6,3
1,2
42,1
55,3
5,4
38,2
19,2
85,2
10,0
46,0
62,4
32,0
5,2
70,3
48,3
58,3
42,0
16,1
50,4
87,1
92,1
1,2
19,1
102,3
56,1
14,1
45,1
86,1
75,2
69,1
11,4
76,2
49,1
4,0
80,2
58,3
83,3
24,1
29,1
102,5
64,3
27,2
79,4
18,4
87,1
56,3
58,5
74,2
50,2
38,3
69,4
101,1
77,3
99,2
8,0
55,1
39,4
42,4
51,3
102,3
11,1
98,2
46,4
84,0
25,1
80,2
9,2
19,4
44,3
60,2
24,2
66,0
10,1
106,1
67,2
37,2
97,2
74,3
84,1
46,4
102,1
27,1
89,0
50,4
29,3
14,0
45,1
60,5
67,4
37,3
16,5
91,4
47,1
20,4
2,3
52,2
89,2
36,2
57,2
3,3
47,2
19,1
53,2
50,1
56,1
61,3
83,4
32,1
25,1
8,4
11,5
102,1
104,1
18,2
46,1
77,2
19,4
99,1
72,3
26,2
67,1
54,4
67,1
61,1
14,1
103,4
4,4
75,2
13,3
95,1
81,3
75,2
58,4
18,3
26,5
34,5
28,5
28,1
82,0
61,5
68,4
83,4
41,4
40,1
72,4
91,3
35,2
14,0
78,1
64,0
25,0
86,3
48,3
18,3
48,1
61,2
83,4
13,1
38,3
95,4
1,5
98,4
50,4
94,4
32,2
74,4
85,2
12,2
79,3
36,2
86,3
68,5
71,5
94,3
46,0
35,5
12,1
89,3
15,3
56,2
37,3
32,3
3,4
31,2
87,2
98,3
29,2
60,3
59,0
52,2
20,2
55,2
34,3
71,3
40,2
40,1
16,4
75,1
49,4
24,3
7,4
48,2
98,3
58,4
6,3
39,5
18,3
10,4
33,4
49,3
77,2
46,4
67,1
94,1
99,2
53,5
43,1
35,4
94,2
36,4
6,1
41,2
8,3
84,1
40,3
71,0
53,4
87,2
65,2
11,3
65,5
3,3
87,4
36,0
96,0
43,2
37,0
52,1
28,1
67,2
37,3
39,4
37,4
41,3
22,3
25,0
93,2
91,2
7,3
72,5
12,4
49,2
74,1
94,2
89,2
48,3
40,3
81,2
24,0
33,0
20,4
76,0
80,3
25,4
95,5
44,1
85,2
58,3
49,1
100,1
49,0
21,3
81,5
98,1
105,4
100,2
78,4
31,0
82,0
66,3
8,5
86,4
71,1
23,3
43,4
94,1
27,2
64,4
76,5
57,4
16,1
61,0
99,2
95,5
90,2
39,3
19,3
74,3
71,3
92,0
18,4
66,1
89,4
55,4
67,0
82,1
92,2
36,0
25,0
38,1
45,1
14,2
89,2
36,2
20,4
83,3
70,5
25,4
103,4
92,4
13,0
75,5
62,0
14,0
11,4
3,3
8,4
82,3
87,1
59,3
12,2
13,4
43,3
97,1
51,2
28,2
83,4
58,5
55,1
94,1
60,2
101,2
18,1
42,2
60,4
37,5
58,4
65,4
45,2
56,3
26,1
48,4
89,2
70,3
70,2
58,3
56,4
98,4
65,3
89,0
28,2
44,0
60,5
53,1
74,4
47,2
20,0
75,5
39,1
45,1
9,1
18,2
16,1
88,5
29,2
85,4
94,0
16,3
103,1
6,1
90,1
72,3
88,4
91,4
70,0
63,0
20,3
60,4
26,4
27,5
5,4
58,1
89,1
33,4
61,4
32,1
20,3
105,0
58,4
29,2
29,1
30,1
33,1
54,1
56,2
91,4
15,3
10,1
56,5
0,0
83,4
37,5
88,0
20,3
12,2
45,2
65,1
21,1
38,0
75,2
89,5
54,4
12,3
94,4
97,4
44,1
64,3
38,5
29,3
76,3
9,5
62,0
92,1
43,5
87,4
81,3
24,2
82,1
107,3
101,2
48,4
5,3
21,3
58,2
5,2
0,0
46,4
24,5
59,1
36,3
103,3
69,0
12,2
10,5
98,2
47,1
61,2
36,2
30,2
68,3
29,3
102,3
52,4
79,2
61,4
71,3
41,1
14,0
94,5
78,3
84,1
14,2
70,4
92,2
92,2
70,1
92,0
80,3
87,2
98,4
9,2
9,4
97,4
36,2
79,2
85,5
12,0
23,2
99,0
15,3
47,5
49,1
2,3
54,1
46,1
96,3
81,4
103,4
88,1
96,3
92,1
26,2
79,4
35,3
71,3
100,1
45,1
61,2
65,5
50,3
54,4
9,2
63,0
96,4
94,3
19,5
40,5
69,1
20,2
51,3
62,4
85,5
43,4
62,3
7,4
77,3
33,5
93,3
104,1
40,1
80,2
98,1
63,3
34,0
31,2
81,0
88,3
100,2
90,5
57,3
55,4
80,3
63,1
66,5
55,0
6,3
13,1
77,3
19,1
74,2
100,1
14,4
46,2
34,3
21,5
42,3
47,0
59,4
48,1
85,1
12,2
99,2
67,4
46,4
75,2
101,2
82,1
95,5
39,0
98,3
54,0
51,0
98,4
34,1
19,2
105,1
88,2
68,1
74,4
10,2
98,3
32,0
63,2
68,2
73,2
71,4
97,5
41,2
80,1
8,5
68,5
38,2
48,3
91,3
97,4
78,2
28,2
10,3
32,4
12,1
69,4
94,3
100,2
75,1
77,2
56,0
86,2
25,2
34,4
84,3
38,1
11,2
27,0
23,5
45,4
95,1
24,4
30,4
37,4
1,2
11,4
70,1
15,1
94,3
81,1
57,2
80,2
71,4
74,2
79,3
51,4
9,1
47,1
68,4
48,5
72,4
19,4
64,1
97,3
96,4
5,0
82,3
87,0
74,1
65,2
6,1
25,1
70,4
64,2
102,0
31,0
12,0
71,2
43,4
39,5
65,4
49,3
59,0
32,1
33,3
18,4
106,2
87,1
16,3
58,1
50,0
34,4
88,3
32,4
16,2
49,5
34,2
43,2
93,1
30,1
54,2
57,4
65,4
84,1
78,1
25,3
9,4
12,4
9,4
50,5
79,3
37,5
51,1
88,1
51,5
55,4
75,3
97,4
57,5
37,2
4,4
79,3
85,2
74,3
23,1
81,4
51,2
29,3
34,1
89,0
61,4
49,5
69,5
11,4
11,1
89,0
97,1
75,5
18,1
13,2
104,2
46,3
45,1
40,2
38,1
28,0
106,3
96,0
58,3
90,4
82,1
27,0
94,1
32,4
81,5
19,4
27,0
25,4
46,4
30,4
27,1
18,5
73,1
44,4
92,1
48,0
61,2
7,3
18,1
68,1
6,3
92,2
105,5
60,2
70,5
26,3
40,3
55,3
28,2
51,5
6,5
68,0
106,5
13,1
21,4
38,3
26,5
12,4
5,1
40,3
10,2
10,4
8,1
13,1
47,5
78,4
85,3
59,5
54,3
11,3
81,4
30,5
11,3
76,4
13,3
57,2
73,3
48,0
80,1
63,1
85,5
51,1
80,2
30,2
23,5
96,4
18,2
101,1
96,0
94,1
9,4
53,4
42,2
31,2
36,3
5,2
17,1
65,2
42,4
64,4
98,2
98,0
82,4
38,2
71,2
14,5
17,3
93,2
72,0
33,0
93,0
27,2
19,3
13,0
42,1
87,0
6,2
93,0
84,1
29,3
89,4
12,4
8,1
61,2
89,4
34,2
3,3
88,2
83,1
81,4
9,5
61,4
75,2
25,5
75,4
88,1
63,3
67,1
64,1
49,0
25,3
66,2
16,1
65,1
82,5
84,2
38,1
13,1
23,2
75,2
68,2
32,4
92,1
14,0
30,3
103,3
37,2
82,4
36,0
52,2
17,1
95,2
86,3
33,0
99,5
37,4
60,1
85,4
41,5
80,1
62,4
38,0
75,1
54,0
19,2
28,0
10,0
98,2
85,3
74,1
10,2
33,0
7,0
80,2
40,5
28,2
30,1
25,2
4,2
26,4
76,4
73,1
92,4
63,1
93,1
46,5
47,1
69,5
82,1
51,2
47,4
68,4
99,1
36,5
105,3
94,3
38,5
90,1
25,5
105,4
44,4
35,4
69,4
26,2
74,5
9,1
95,1
38,3
66,1
35,0
97,2
94,1
15,3
97,4
80,1
42,1
17,1
80,0
49,5
76,2
27,3
25,4
20,1
17,5
33,4
9,1
34,3
55,2
77,1
62,4
98,3
82,1
88,3
21,3
8,1
14,3
18,3
9,0
42,3
45,2
68,3
63,2
36,4
7,2
5,2
46,5
40,4
91,3
50,4
82,2
89,2
12,1
7,1
56,5
24,2
94,5
6,1
84,1
5,4
86,0
18,0
20,5
88,5
28,4
79,4
51,1
101,3
24,3
26,5
50,1
59,2
20,3
93,1
88,1
56,4
75,3
106,4
19,3
99,1
104,2
21,5
12,4
103,1
33,1
103,1
96,4
52,2
10,4
98,1
97,1
44,2
51,3
22,1
28,5
91,3
3,2
91,4
54,2
32,4
9,4
10,1
73,3
23,0
79,1
36,1
55,2
14,4
59,5
56,3
38,4
61,2
17,3
73,5
85,1
57,3
90,2
70,1
93,2
60,4
99,3
13,1
83,3
89,3
97,0
6,4
45,4
16,4
33,3
80,0
20,1
80,4
13,2
25,3
66,2
65,0
64,1
2,1
27,2
58,5
28,2
70,4
87,5
94,1
81,0
10,5
89,4
18,4
100,0
53,0
88,1
60,2
21,2
7,3
89,5
94,1
34,3
65,4
86,4
85,2
71,2
84,2
12,2
29,3
18,5
96,4
42,1
2,3
19,3
4,2
17,2
40,2
41,5
50,2
49,5
78,4
82,2
88,2
35,3
29,4
77,4
32,3
24,5
