X,Y
48,0
56,2
65,5
69,0
72,3
16,4
91,3
27,0
40,0
87,4
72,0
96,5
97,0
14,3
62,4
65,2
48,3
92,4
49,5
90,4
86,3
39,4
25,1
77,1
76,4
11,1
26,1
85,1
78,1
87,1
47,5
66,1
90,3
107,4
96,3
56,4
29,2
22,4
19,4
21,1
45,5
37,1
67,2
11,5
57,0
36,2
39,0
83,0
24,3
44,3
81,2
58,0
35,1
39,3
0,2
8,1
42,1
61,2
7,3
44,3
20,2
85,1
7,0
44,1
65,3
31,0
2,1
68,4
44,3
64,3
36,0
14,1
50,4
85,0
91,1
3,2
20,0
106,3
58,1
15,2
45,2
91,0
84,2
76,0
11,4
75,1
50,0
4,1
76,1
54,3
86,4
18,0
28,2
106,5
67,3
31,2
81,4
22,4
94,2
52,4
57,5
74,2
50,1
35,4
67,3
100,1
77,3
95,2
6,1
54,0
42,4
40,4
49,3
96,4
4,1
101,2
43,4
77,0
27,1
78,2
7,2
16,4
48,2
67,1
23,2
68,1
5,1
102,2
66,3
38,3
101,2
75,2
83,1
47,4
99,2
22,1
84,1
58,3
31,3
22,0
45,1
61,5
69,4
43,2
11,4
92,4
43,2
14,4
4,3
59,2
81,2
35,1
58,3
3,2
42,2
27,1
54,3
47,2
58,2
61,3
80,4
30,2
24,0
11,4
6,4
100,0
101,0
20,2
49,1
75,3
23,5
97,0
74,3
28,1
68,2
53,4
72,1
65,1
16,0
104,5
7,4
71,2
11,3
88,2
86,4
77,3
62,3
19,2
26,4
31,4
29,5
27,0
89,0
68,4
64,4
90,4
35,4
33,1
75,5
86,4
39,2
18,0
80,1
57,1
28,0
82,3
44,2
26,2
44,2
63,3
87,4
15,1
46,3
100,3
1,5
99,3
51,4
94,5
29,3
76,4
82,3
5,2
76,3
43,3
87,3
67,4
69,5
88,4
44,1
39,5
16,0
86,2
11,2
56,2
45,3
33,3
8,3
29,2
83,2
90,4
32,1
59,3
55,1
48,2
26,2
58,1
37,4
72,4
36,1
39,2
16,3
79,1
47,5
29,3
12,5
50,3
91,3
57,4
7,3
34,4
11,3
10,4
27,3
48,4
76,3
43,4
65,2
87,1
100,2
48,4
39,0
37,3
91,2
35,3
13,1
39,3
6,4
80,1
34,2
74,1
58,4
87,3
68,1
16,2
65,4
8,3
86,3
38,0
91,1
42,1
41,0
49,0
28,0
70,1
43,3
39,5
35,5
35,4
27,4
21,1
101,1
84,1
6,3
73,4
17,3
50,3
73,2
97,1
91,3
41,3
47,3
80,1
30,1
36,1
17,5
72,0
76,4
27,3
101,5
44,2
90,3
50,2
44,0
96,0
49,0
26,4
81,4
94,2
100,4
99,3
73,5
35,1
89,1
66,2
3,4
89,5
63,0
24,3
40,3
95,1
33,2
72,4
75,5
51,3
15,1
60,1
95,1
100,4
90,2
34,2
27,2
75,3
73,3
94,0
16,4
61,0
89,4
59,4
73,0
76,1
95,2
39,1
31,0
32,1
46,1
17,2
89,2
32,2
23,4
87,2
69,5
31,3
100,4
83,4
10,0
78,4
63,0
19,0
14,4
6,2
15,5
82,3
88,0
55,3
19,2
