X,Y
44,0
52,1
64,5
67,1
72,4
12,5
92,3
24,1
38,1
94,5
72,1
97,4
97,0
15,2
63,4
66,1
46,3
92,5
54,4
91,4
88,3
46,3
33,1
80,1
79,5
15,1
25,2
80,2
78,1
84,1
54,5
69,2
89,4
104,3
96,3
57,4
38,1
23,5
28,4
15,2
41,4
33,1
68,3
11,4
57,1
41,3
38,1
80,0
26,4
40,3
77,2
62,0
37,2
41,3
0,2
0,1
40,1
57,3
8,4
42,2
22,2
85,1
12,1
43,0
59,3
37,1
2,2
65,3
43,2
61,3
43,0
11,1
46,5
82,1
100,1
1,2
19,0
101,3
53,0
19,1
47,1
91,1
80,2
73,1
6,5
70,2
52,0
5,1
77,1
56,3
83,4
15,0
27,1
100,5
66,4
29,3
86,5
14,4
92,2
53,3
49,4
72,2
46,2
44,3
73,4
101,0
70,2
95,2
4,0
58,1
45,5
35,3
51,3
95,3
6,0
99,2
45,4
78,0
29,1
74,2
6,2
12,5
47,2
62,2
25,1
63,1
4,0
98,2
64,2
37,3
95,3
76,3
90,0
48,4
103,1
22,1
81,1
58,3
29,2
23,1
41,0
58,5
66,5
40,2
12,5
88,3
47,2
19,3
9,4
56,1
86,3
32,2
57,3
6,2
47,1
28,0
52,2
44,2
57,2
68,3
82,4
37,2
30,1
2,4
12,4
97,0
103,0
18,3
40,1
74,2
23,5
104,1
80,3
30,1
69,1
61,4
72,0
66,2
19,0
96,5
13,5
70,1
11,2
88,2
82,3
75,3
57,4
19,2
24,5
35,4
25,5
29,0
87,0
67,5
70,4
83,4
34,4
32,1
76,5
88,3
33,2
14,1
80,2
64,0
27,0
83,3
48,2
21,3
41,1
55,3
86,4
11,1
43,2
101,4
10,5
98,3
52,4
91,4
33,2
72,3
84,3
10,2
85,3
43,3
95,3
61,4
78,4
96,3
43,0
36,4
20,0
86,2
14,2
60,2
39,3
37,3
9,3
35,2
90,1
96,4
26,2
61,4
55,0
53,2
23,1
61,1
35,3
72,3
43,1
47,2
10,4
79,1
43,4
30,4
7,5
48,3
93,3
51,4
4,4
37,5
16,3
10,4
34,4
48,4
80,2
43,3
65,2
93,2
99,2
45,5
39,1
35,3
93,1
35,3
13,1
40,2
3,3
83,0
41,3
69,1
55,3
81,3
67,2
8,3
63,4
4,3
82,3
40,1
99,0
43,1
39,0
54,1
31,1
76,2
41,3
31,5
34,5
41,4
26,4
18,1
93,1
85,1
2,3
72,4
20,4
48,2
67,1
99,2
91,2
39,3
48,3
84,1
29,1
35,0
18,5
72,1
73,3
25,4
95,5
45,1
91,2
58,2
45,0
96,0
48,0
25,4
80,5
95,2
101,4
95,3
81,5
28,1
83,0
60,2
4,5
95,5
68,1
20,3
38,4
100,1
28,2
71,5
68,5
58,4
15,1
62,0
97,2
96,5
96,2
35,2
27,2
76,3
73,3
87,0
17,4
65,1
85,4
56,4
66,1
83,1
100,1
36,0
31,0
41,2
46,2
20,2
88,2
31,2
29,4
85,2
74,4
25,3
107,4
85,3
16,0
80,5
66,1
13,1
12,3
6,3
11,4
86,4
85,0
53,4
13,3
13,4
41,3
98,2
53,2
30,2
75,4
61,5
58,1
99,0
55,3
101,2
20,1
37,2
54,4
35,4
56,4
59,4
49,2
56,2
27,1
50,4
93,2
65,3
72,2
59,2
49,4
99,3
60,3
85,0
34,3
38,0
63,5
50,1
81,4
52,2
15,1
78,5
46,0
39,0
13,1
19,1
7,1
89,5
24,3
84,3
89,0
17,3
105,2
15,0
85,1
78,3
91,4
95,5
71,1
67,0
25,4
58,5
29,4
25,4
13,3
58,2
94,1
32,3
55,5
30,1
26,3
102,1
65,4
29,2
28,1
29,1
41,0
56,2
51,2
90,5
10,4
12,2
60,4
5,0
87,3
45,4
87,0
27,2
10,2
47,2
65,2
29,0
41,0
77,2
89,4
56,3
15,3
94,4
98,5
51,2
72,2
38,4
20,2
77,3
10,4
68,1
98,0
40,5
85,5
85,3
19,1
83,0
104,3
103,1
51,4
9,3
15,4
66,3
7,3
3,0
48,4
24,4
58,1
42,2
104,4
74,0
9,1
4,5
98,2
45,0
68,2
36,2
28,1
68,2
27,3
105,3
57,5
80,2
60,3
76,2
41,1
9,0
103,4
77,3
87,1
13,2
67,3
92,2
98,1
72,2
88,1
74,3
85,3
103,4
6,1
9,3
96,4
35,3
82,1
92,4
7,1
27,2
94,1
8,3
52,5
48,1
3,2
57,1
39,1
98,3
74,5
99,4
88,1
101,4
84,0
30,1
83,5
36,2
72,2
105,0
52,1
67,3
64,5
51,2
50,4
12,2
62,0
96,4
95,4
26,4
41,4
74,0
29,1
54,2
64,3
84,4
39,4
65,3
6,5
85,2
35,5
93,3
106,1
44,1
82,2
96,1
60,4
28,1
30,3
79,1
86,3
106,1
92,4
57,3
52,4
88,4
62,2
69,4
51,0
1,3
19,1
82,3
16,2
80,2
96,1
10,4
45,3
33,3
18,5
45,3
39,0
58,4
50,1
85,2
15,1
94,2
71,3
47,3
74,2
94,2
84,2
99,5
33,1
96,4
56,1
55,0
102,4
35,2
13,2
97,2
89,2
70,1
80,5
11,2
99,3
31,0
59,2
73,3
64,2
76,5
96,5
34,2
80,1
5,4
64,4
43,2
44,3
83,4
88,5
73,2
25,1
7,3
36,3
12,1
68,5
95,2
98,2
78,0
73,3
60,0
86,2
29,3
38,4
85,4
36,1
12,1
25,0
24,4
45,4
87,2
21,5
34,5
44,4
1,1
8,3
75,1
19,1
93,3
74,0
62,2
84,2
63,3
72,2
72,3
47,3
13,2
52,1
61,5
50,5
70,5
17,4
63,2
100,3
94,3
4,0
87,2
83,1
73,1
65,2
7,2
17,2
77,4
67,1
96,0
27,0
4,0
69,1
41,4
45,4
59,3
51,4
60,0
24,1
39,4
19,5
101,2
84,1
14,2
56,1
55,0
36,3
86,2
37,3
12,2
53,5
33,3
36,2
91,1
33,2
54,2
53,3
71,3
78,1
76,1
27,4
13,4
9,3
6,3
49,5
85,3
44,5
51,1
85,2
56,5
58,4
71,3
94,4
52,4
37,2
4,5
78,4
85,3
65,3
28,0
83,4
50,1
35,3
33,0
89,1
60,4
56,4
69,4
11,3
9,2
97,1
97,1
77,5
18,1
16,2
103,3
41,3
42,1
39,3
39,1
34,1
101,3
93,1
51,2
89,4
90,1
22,1
94,2
33,4
74,4
24,4
29,1
27,5
43,4
34,5
27,1
18,5
74,1
45,5
91,1
48,0
62,2
3,2
13,0
76,1
12,2
96,3
100,4
58,1
73,5
21,2
34,3
54,3
26,2
43,5
0,4
72,1
97,4
19,0
23,5
42,4
26,4
17,5
9,2
38,4
8,3
16,5
6,1
10,0
41,5
80,3
94,3
56,5
57,4
6,3
84,5
33,5
9,3
78,4
12,2
55,3
67,3
47,0
82,1
69,0
77,4
51,0
80,1
29,1
25,4
89,5
14,3
96,1
96,1
88,2
12,3
54,3
46,3
26,2
38,3
13,3
24,1
63,1
44,4
64,4
104,1
105,0
88,4
38,1
64,2
10,4
12,2
94,2
69,1
30,1
90,1
27,3
20,2
5,0
43,1
86,1
13,3
99,1
82,0
26,2
90,5
13,4
11,0
59,1
88,4
35,1
5,3
87,1
81,0
77,5
8,5
63,4
67,2
23,5
78,5
85,2
60,3
65,1
60,2
53,1
19,3
61,2
11,2
62,2
80,5
79,1
36,2
11,1
21,2
75,2
64,1
32,4
91,0
13,0
22,4
102,4
31,2
88,5
32,0
56,2
19,1
94,2
81,3
38,0
90,4
37,5
60,2
88,4
38,5
77,1
68,4
43,1
73,2
56,0
17,2
24,0
14,1
100,1
90,3
69,1
3,1
34,1
10,0
84,2
40,5
22,2
31,2
19,2
5,3
20,4
77,3
72,1
89,4
66,2
93,0
