X,Y
50,1
53,1
66,4
70,1
76,4
16,5
91,4
25,0
45,0
91,5
78,0
88,5
91,1
21,2
61,4
73,1
48,4
87,4
46,5
92,4
82,3
43,4
31,2
77,1
72,4
15,0
24,2
80,2
75,1
84,0
47,5
73,2
85,4
102,3
91,4
53,4
38,1
23,5
25,4
16,1
46,4
37,0
68,3
16,5
57,0
41,2
34,1
80,0
32,3
43,4
84,2
55,0
33,1
37,2
0,2
6,2
39,2
57,3
7,4
46,3
22,1
79,2
13,1
48,0
58,4
39,1
7,1
68,3
42,2
62,3
44,0
13,0
49,4
84,0
100,1
4,2
20,1
108,2
62,0
15,1
51,2
92,1
77,2
72,0
9,4
69,1
52,0
12,1
77,1
54,2
78,3
22,0
27,2
99,5
58,3
26,2
87,5
15,5
94,1
55,4
52,5
77,1
43,2
40,3
65,3
96,0
78,3
98,1
5,1
58,1
45,5
35,3
54,2
93,3
4,1
104,3
48,3
79,1
27,1
81,3
5,2
11,4
49,3
64,2
25,1
59,1
10,0
100,2
66,3
36,2
94,2
68,3
86,1
47,4
107,1
26,1
90,1
57,4
27,2
18,1
43,0
61,4
65,5
42,2
17,5
91,4
49,1
11,3
10,4
57,1
86,3
35,2
54,2
8,2
45,1
26,1
48,3
42,2
56,2
61,3
84,5
38,2
27,1
9,3
3,4
95,0
102,0
17,3
42,2
75,2
23,4
103,1
76,3
26,1
68,1
59,4
71,0
70,1
17,0
98,4
10,5
67,2
14,3
92,2
81,4
78,3
59,4
20,2
30,5
31,4
21,4
30,0
88,1
69,5
68,4
90,4
38,5
37,2
70,5
90,3
33,2
15,0
75,2
62,1
29,1
79,2
44,2
19,2
41,1
58,2
86,3
17,0
39,2
94,3
4,4
98,4
53,3
94,5
29,3
74,3
89,3
12,1
76,3
38,2
86,2
70,5
73,5
88,3
51,0
37,4
12,0
86,3
14,3
58,2
43,2
35,3
11,4
35,1
84,1
90,4
28,1
56,3
55,0
54,2
25,2
59,1
31,4
76,4
42,1
43,2
15,3
74,1
49,4
24,3
11,5
52,2
94,2
50,5
4,3
31,5
13,4
12,4
31,4
48,3
78,3
43,3
63,2
93,2
99,2
49,4
40,0
40,4
90,2
34,3
9,1
39,3
8,3
80,0
38,3
70,1
59,3
82,2
70,2
9,2
70,4
4,2
87,3
41,1
97,1
46,1
45,1
52,0
27,0
68,2
35,3
34,5
29,5
41,3
27,3
24,0
99,2
88,2
5,3
72,5
13,3
53,3
71,2
95,2
91,3
42,2
48,3
80,1
25,1
31,1
26,5
72,1
71,3
23,4
96,4
50,2
85,3
54,2
49,1
100,0
54,0
23,4
79,4
93,1
97,3
92,2
82,4
28,1
89,0
60,2
4,5
88,5
72,1
16,3
40,3
101,0
24,2
64,4
75,5
57,4
13,0
61,0
96,2
100,4
87,2
37,2
21,3
74,2
72,3
87,1
22,4
67,1
84,5
56,3
71,0
79,1
93,2
39,1
30,0
37,2
45,1
16,3
87,2
30,3
22,4
87,3
75,4
23,4
102,5
85,4
7,0
76,4
68,1
20,0
14,3
5,2
8,4
83,4
87,1
53,4
17,2
7,3
45,4
98,2
46,2
27,1
78,3
57,5
51,2
97,0
52,2
105,3
22,0
35,3
54,3
39,5
59,4
62,5
45,3
60,2
23,0
47,5
92,2
71,4
79,1
53,2
56,5
95,4
59,2
89,0
32,2
37,1
67,4
49,1
78,4
46,2
18,1
72,4
47,1
48,1
12,1
15,2
10,2
80,5
28,2
85,3
98,1
17,2
106,1
13,0
88,0
74,3
84,4
91,4
70,0
60,1
17,4
64,4
25,4
28,4
10,3
56,2
92,1
38,3
58,4
25,1
27,3
105,1
64,4
28,2
30,1
36,2
36,0
57,2
53,3
91,4
10,4
15,1
58,4
2,0
84,3
42,4
89,1
21,3
7,2
43,1
67,1
24,0
39,1
75,1
89,5
54,4
15,3
94,3
98,5
43,2
65,3
34,5
24,3
72,4
15,5
61,1
91,1
37,5
92,5
80,4
21,2
83,1
106,3
98,2
52,3
7,3
12,4
59,3
7,3
4,0
39,3
25,5
62,2
44,3
104,3
73,0
9,1
