X,Y
44,0
47,1
64,4
67,0
67,3
9,4
83,3
21,0
36,0
87,4
70,0
88,4
88,0
12,2
58,3
65,1
39,3
87,4
46,4
88,3
81,3
37,3
25,1
77,0
72,4
9,0
20,1
80,1
69,1
79,0
47,4
64,1
82,3
99,3
88,3
49,3
29,1
19,4
19,3
14,1
39,4
32,0
65,2
9,4
57,0
32,2
31,0
74,0
23,3
35,3
75,1
55,0
28,1
34,2
0,2
0,1
36,1
53,2
5,3
38,2
17,1
79,1
4,0
42,0
58,3
31,0
1,1
65,3
41,2
57,2
35,0
11,0
46,4
82,0
91,0
0,1
14,0
99,2
53,0
12,1
42,1
84,0
75,1
68,0
6,4
68,1
47,0
3,0
76,1
52,2
78,3
15,0
20,1
99,4
58,3
23,2
79,4
13,4
85,1
48,3
49,4
69,1
41,1
35,3
64,3
95,0
69,2
94,1
0,0
50,0
36,4
34,3
48,2
93,3
3,0
98,2
42,3
77,0
21,1
73,2
0,1
10,4
43,2
58,1
23,1
59,0
2,0
98,1
62,2
35,2
94,2
67,2
82,0
46,4
99,1
20,0
81,0
50,3
27,2
14,0
41,0
58,4
65,4
36,2
10,4
86,3
43,1
11,3
2,3
51,1
80,2
32,1
54,2
0,2
38,1
19,0
46,2
42,1
56,1
60,2
77,4
30,1
24,0
2,3
3,4
94,0
98,0
13,2
40,1
72,2
19,4
95,0
72,3
26,1
66,1
52,4
67,0
61,1
14,0
96,4
4,4
67,1
11,2
86,1
77,3
75,2
56,3
16,2
24,4
29,4
21,4
25,0
80,0
60,4
61,3
83,3
33,4
32,1
70,4
85,3
31,1
13,0
71,1
56,0
24,0
79,2
41,2
18,2
40,1
54,2
79,3
11,0
38,2
93,3
1,4
95,3
44,3
88,4
24,2
67,3
82,2
3,1
76,2
35,2
86,2
61,4
69,4
87,3
43,0
32,4
11,0
84,2
10,2
54,1
37,2
28,2
2,3
27,1
83,1
89,3
23,1
53,3
51,0
46,1
20,1
53,1
29,3
67,3
35,1
39,1
9,3
73,0
41,4
23,3
3,4
46,2
90,2
50,4
3,3
31,4
9,3
10,4
27,3
45,3
71,2
39,3
61,1
85,1
97,1
44,4
34,0
34,3
88,1
33,3
5,1
36,2
0,3
75,0
34,2
69,0
53,3
80,2
62,1
8,2
61,4
1,2
81,3
35,0
91,0
40,1
36,0
48,0
25,0
67,1
35,3
30,4
29,4
33,3
18,3
17,0
93,1
84,1
2,2
69,4
12,3
44,2
66,1
91,1
85,2
39,2
39,3
75,1
22,0
30,0
17,4
70,0
71,3
18,3
92,4
43,1
83,2
49,2
41,0
93,0
46,0
21,3
73,4
89,1
96,3
91,2
73,4
28,0
81,0
58,2
0,4
86,4
63,0
16,3
36,3
94,0
24,1
63,4
67,4
51,3
8,0
56,0
91,1
93,4
87,2
32,2
19,2
72,2
71,2
87,0
13,4
58,0
81,4
55,3
64,0
75,0
92,1
36,0
25,0
32,1
42,1
14,2
86,1
28,2
20,3
82,2
68,4
22,3
99,4
83,3
7,0
72,4
61,0
13,0
5,3
0,2
8,4
79,3
79,0
53,3
11,2
4,3
39,3
92,1
45,2
26,1
74,3
52,4
49,1
91,0
51,2
99,2
18,0
34,2
51,3
30,4
53,4
58,4
43,2
55,2
18,0
45,4
87,1
65,3
70,1
53,2
48,4
94,3
59,2
80,0
26,2
35,0
58,4
49,1
73,3
44,2
13,0
70,4
38,0
39,0
8,1
13,1
7,1
80,4
22,2
79,3
89,0
8,2
99,1
6,0
81,0
71,3
84,4
89,4
66,0
60,0
16,3
56,4
23,4
24,4
4,3
49,1
87,1
30,3
54,4
25,1
20,3
97,0
57,3
23,2
27,1
29,1
33,0
53,1
51,2
86,4
7,3
9,1
54,4
0,0
83,3
36,4
81,0
20,2
3,1
42,1
65,1
20,0
36,0
68,1
80,4
47,3
10,2
94,3
91,4
43,1
63,2
31,4
20,2
70,3
9,4
60,0
91,0
35,4
83,4
76,3
18,1
74,0
98,2
97,1
43,3
3,3
12,3
58,2
1,2
0,0
39,3
24,4
58,1
36,2
99,3
69,0
6,1
3,4
98,1
40,0
60,2
33,1
28,1
68,2
26,3
96,3
51,4
73,2
53,3
69,2
33,0
7,0
94,4
72,3
84,0
7,1
67,3
85,1
91,1
67,1
84,0
71,3
83,2
95,3
0,1
5,3
91,4
30,2
73,1
83,4
7,0
21,2
92,0
8,3
43,4
46,0
0,2
51,0
38,0
89,2
74,4
98,3
87,1
96,3
83,0
26,1
78,4
32,2
70,2
97,0
44,1
59,2
57,4
50,2
45,3
4,1
57,0
93,4
91,3
17,4
35,4
66,0
20,1
45,2
57,3
79,4
36,4
62,3
4,4
77,2
30,4
87,3
98,1
35,1
73,1
90,0
55,3
26,0
22,2
76,0
79,3
98,1
90,4
51,3
46,4
80,3
61,1
60,4
47,0
0,3
10,0
75,2
13,1
71,1
94,1
6,3
45,2
30,2
15,4
41,3
38,0
53,3
43,0
82,1
7,1
92,1
65,3
41,3
66,2
92,2
78,1
91,4
31,0
93,3
50,0
46,0
93,3
33,1
12,2
96,1
80,1
66,1
72,4
10,2
90,2
27,0
56,1
65,2
64,2
69,4
88,4
34,1
79,0
3,4
60,4
37,2
43,2
83,3
88,4
70,1
20,1
6,2
28,3
6,0
66,4
92,2
92,1
69,0
73,2
54,0
77,2
21,2
31,3
81,3
35,1
8,1
25,0
21,4
45,3
86,1
16,4
25,4
37,4
1,1
5,3
70,1
12,1
90,3
74,0
54,2
78,1
62,3
72,2
71,3
45,3
5,1
47,0
59,4
42,4
67,4
10,4
57,1
91,2
89,3
3,0
78,2
82,0
69,1
58,1
4,1
17,1
69,3
63,1
94,0
24,0
3,0
69,1
40,3
36,4
58,3
49,3
55,0
24,0
33,3
18,4
97,2
78,0
7,2
53,1
46,0
33,3
81,2
29,3
12,1
46,4
32,2
34,1
87,0
25,1
46,1
52,3
64,3
76,0
73,1
18,3
4,3
7,3
3,3
48,4
76,3
37,4
48,0
82,1
51,4
49,4
71,3
90,4
49,4
29,1
3,4
74,3
84,2
65,2
20,0
80,4
42,1
28,3
26,0
87,0
52,4
48,4
66,4
9,3
2,1
89,0
90,1
68,4
10,0
12,1
97,2
37,3
39,0
32,2
33,1
26,0
99,3
89,0
50,2
88,3
82,1
20,0
94,1
28,3
72,4
18,4
25,0
24,4
39,3
28,4
24,1
18,4
67,0
44,4
83,1
45,0
54,1
0,2
10,0
67,1
6,2
91,2
99,4
57,1
70,4
19,2
34,3
50,3
20,1
43,4
0,4
66,0
97,4
12,0
15,4
33,3
23,4
12,4
5,1
38,3
1,2
10,4
6,0
6,0
38,4
75,3
85,2
50,4
51,3
2,3
76,4
29,4
9,2
72,3
5,2
53,2
65,2
43,0
79,1
62,0
76,4
47,0
76,1
21,1
18,4
89,4
13,2
94,0
92,0
85,1
6,3
48,3
40,2
26,2
30,3
5,2
15,0
63,1
37,4
59,4
95,1
96,0
80,3
32,1
62,2
10,4
12,2
93,2
64,0
29,0
90,0
22,2
19,2
5,0
36,0
83,0
5,2
92,0
76,0
26,2
83,4
12,4
7,0
52,1
80,3
29,1
0,2
87,1
79,0
74,4
3,4
61,4
67,1
16,4
73,4
84,1
56,2
62,0
56,1
48,0
17,3
57,1
9,1
62,1
79,4
78,1
33,1
4,1
16,2
71,1
62,1
23,4
91,0
7,0
22,3
98,3
30,2
80,4
27,0
47,2
11,0
87,1
78,2
30,0
90,4
34,4
54,1
81,3
35,4
71,0
59,3
37,0
68,1
53,0
13,1
19,0
8,0
96,1
81,2
69,1
1,1
29,0
5,0
80,1
40,4
22,2
30,1
19,2
4,2
20,3
74,3
67,1
86,3
60,1
93,0
41,4
40,0
60,4
81,1
51,2
40,4
59,3
94,0
29,4
97,3
94,2
37,4
88,1
16,4
99,4
39,4
29,3
65,4
23,2
72,4
0,0
87,0
37,3
63,0
26,0
89,1
89,0
6,2
88,4
79,0
41,0
17,1
80,0
43,4
69,2
19,3
22,4
11,0
11,4
33,4
7,0
26,2
48,2
71,0
54,4
96,3
82,1
87,2
21,2
2,0
8,3
10,2
5,0
38,2
38,1
65,2
59,1
36,3
5,1
5,1
38,4
35,4
88,3
49,4
79,2
84,1
9,1
4,0
49,4
24,1
94,4
2,0
83,1
3,4
77,0
11,0
13,4
81,4
26,4
70,3
47,1
98,2
21,2
20,4
42,1
57,2
17,3
89,0
85,0
55,3
68,2
98,4
11,2
98,1
97,2
19,4
11,4
97,1
25,0
97,0
95,4
45,2
6,3
89,0
88,0
38,2
51,2
16,0
23,4
90,3
3,1
90,3
46,1
29,3
2,4
5,0
71,3
15,0
78,1
35,0
52,2
7,4
51,4
51,2
29,3
55,2
11,3
67,4
77,0
55,3
88,1
68,1
86,1
57,4
93,3
11,0
78,2
82,3
89,0
3,4
37,4
7,4
29,2
78,0
11,0
73,4
11,2
16,2
60,1
63,0
59,0
1,0
18,1
53,4
28,1
64,3
85,4
88,0
73,0
8,4
82,3
11,4
92,0
51,0
81,0
55,2
15,2
3,3
88,4
85,0
28,3
58,4
85,4
78,1
65,2
76,2
11,2
25,3
11,4
90,4
34,0
1,2
16,3
1,2
16,1
33,1
33,4
44,1
40,4
72,3
77,2
83,1
32,3
23,4
68,3
31,3
22,4
64,4
31,2
79,0
83,2
15,4
51,0
12,2
45,0
10,1
80,0
70,3
21,0
94,4
67,4
80,2
64,2
1,2
50,4
96,3
82,3
82,1
57,1
22,0
15,3
15,1
28,2
71,2
27,1
88,3
57,1
58,2
88,0
76,4
13,0
18,2
78,3
78,4
20,4
71,3
55,2
44,2
91,0
44,4
15,3
87,2
75,2
77,0
29,2
95,1
82,2
4,1
28,4
65,1
49,3
49,4
87,3
57,4
80,0
41,1
90,0
66,4
47,4
17,4
20,4
38,4
64,1
6,3
22,1
79,2
74,0
34,2
40,4
38,0
21,1
34,3
32,3
42,3
44,1
99,3
41,4
27,0
48,2
10,3
68,2
17,0
3,1
94,0
87,1
29,3
30,4
75,2
66,4
93,0
60,3
7,3
51,2
73,1
87,2
64,3
17,2
40,0
21,1
94,0
26,2
15,1
17,2
10,3
17,0
3,2
73,0
29,2
67,4
71,1
80,1
98,0
4,3
61,3
90,0
6,0
32,0
81,2
37,0
27,1
51,3
78,4
59,4
86,0
95,0
8,1
56,3
29,3
28,1
95,2
34,4
58,1
81,4
92,1
16,0
72,1
59,4
7,1
12,1
32,1
84,2
75,0
93,1
40,2
0,3
84,3
92,3
77,2
37,0
47,3
61,4
50,2
68,0
76,2
57,3
4,0
36,3
80,3
82,0
37,3
94,2
35,2
48,1
0,0
49,4
57,4
9,4
50,1
97,3
48,1
12,3
70,1
36,2
99,2
36,3
30,4
19,4
38,2
44,1
35,2
14,4
29,3
51,0
60,3
81,3
67,1
29,1
27,0
3,0
33,2
51,2
27,0
56,0
21,2
39,2
74,4
29,1
29,1
61,4
58,0
24,1
16,2
64,4
98,3
13,4
1,4
2,2
66,0
19,4
76,4
30,2
39,0
85,1
77,2
49,2
26,1
12,0
64,0
1,4
36,1
10,0
32,0
28,0
58,3
66,2
92,4
65,1
77,0
83,0
47,0
81,1
36,2
71,0
53,0
70,1
9,1
15,4
18,2
29,1
53,0
60,4
42,4
82,1
2,1
29,1
17,3
35,1
19,2
16,3
23,4
12,4
99,1
56,3
66,3
20,1
3,1
