X,Y
52,0
50,2
64,5
72,0
71,3
15,4
87,4
28,1
37,1
96,4
79,1
88,5
91,0
19,2
59,3
70,1
44,3
88,4
52,4
93,3
89,4
43,3
29,1
84,0
80,4
18,1
26,1
84,1
73,2
86,1
53,5
66,1
83,3
103,4
88,4
55,4
33,1
24,4
23,4
15,2
47,4
37,1
70,2
9,4
63,1
35,3
38,0
82,1
31,3
36,3
84,1
64,1
28,2
39,2
9,3
9,2
41,2
60,2
7,4
40,3
18,2
86,1
4,0
48,1
60,3
40,1
1,1
71,3
46,2
63,3
40,1
20,0
51,5
88,0
94,0
2,1
14,0
105,2
57,1
16,2
44,1
93,1
84,2
73,1
12,4
72,2
51,0
8,1
78,2
55,2
83,4
22,0
20,1
107,5
58,3
25,2
88,4
17,4
92,2
57,4
55,5
73,1
45,2
38,4
67,3
104,0
71,2
99,1
8,1
55,1
41,5
41,4
51,2
98,3
4,1
106,3
46,4
81,0
30,2
77,3
9,2
10,4
44,3
59,1
31,2
62,1
8,0
103,1
64,2
38,2
100,3
73,2
88,1
54,4
104,1
20,1
90,0
58,4
29,3
15,1
42,0
62,4
74,5
37,2
16,5
91,3
49,1
18,4
10,3
56,1
85,3
35,1
63,2
2,2
47,1
22,1
54,3
48,1
61,1
61,3
86,4
35,2
25,0
9,3
6,5
94,0
100,1
22,2
44,2
74,2
28,4
103,1
72,4
26,1
69,2
53,5
75,1
67,1
17,1
98,4
10,5
73,1
12,3
90,1
86,4
82,2
62,3
21,2
32,5
33,4
22,5
26,0
87,0
60,4
65,3
84,4
40,5
35,1
72,4
90,4
33,1
14,0
74,1
59,1
31,0
86,2
49,3
22,3
40,1
61,2
83,3
13,1
40,2
97,3
5,4
102,4
48,4
93,5
25,2
74,3
85,2
5,1
85,3
40,3
93,3
62,5
77,4
93,4
45,0
39,5
11,1
88,2
14,3
62,2
45,3
34,3
9,3
32,1
91,2
93,4
24,2
58,3
57,0
50,1
27,1
53,1
35,3
70,3
42,1
46,2
9,3
78,0
46,5
27,3
4,5
49,2
98,2
50,4
7,3
36,4
11,3
12,4
33,3
48,3
79,3
39,4
70,1
94,2
99,2
45,5
41,1
34,4
90,2
39,4
11,1
38,2
5,4
79,1
41,2
71,1
54,4
84,2
68,1
17,3
64,4
8,3
86,4
37,0
99,1
44,1
37,0
55,0
32,1
75,2
35,3
33,5
31,4
40,3
19,3
19,0
94,1
87,2
11,2
78,4
18,4
46,3
69,2
96,2
92,2
47,2
48,3
81,1
23,1
36,0
22,5
78,1
75,4
27,4
92,4
44,2
85,2
52,2
42,0
102,0
47,1
28,4
76,5
98,1
100,4
97,3
81,4
30,0
88,1
67,3
8,5
88,4
68,1
25,4
36,3
94,0
33,1
65,4
73,5
59,4
17,1
57,0
94,2
96,5
96,2
34,2
27,2
73,3
77,2
90,0
15,4
60,1
81,4
62,3
73,1
75,1
100,2
41,1
31,0
34,2
48,1
18,3
95,2
29,2
21,4
83,3
76,5
23,4
100,5
86,4
14,1
79,5
62,1
19,1
6,4
5,2
8,5
88,4
80,1
61,3
11,2
13,3
43,4
93,1
50,2
32,1
82,4
57,4
50,1
92,0
60,3
102,3
26,0
35,3
55,4
39,5
56,5
60,4
44,3
64,2
24,0
49,4
93,1
65,4
76,2
62,2
50,5
102,3
59,3
86,0
32,3
43,1
66,5
51,2
79,4
50,2
21,0
79,5
43,0
42,1
17,2
19,2
16,2
84,4
25,2
83,4
96,0
14,3
107,1
6,0
83,0
76,3
91,5
94,5
71,0
66,1
22,3
63,5
31,5
25,4
10,3
57,1
92,1
38,3
59,4
25,2
25,3
102,0
65,4
32,2
29,1
36,1
38,0
59,2
54,2
87,5
13,4
16,1
59,4
8,0
84,4
37,4
89,1
24,2
8,1
46,1
66,1
25,1
39,1
74,2
82,5
54,3
12,2
95,3
92,4
43,2
72,2
35,4
26,2
77,4
17,5
66,0
97,1
38,4
91,5
77,4
25,2
78,1
100,2
101,2
51,4
12,4
15,4
64,3
7,2
0,0
45,3
28,4
66,1
45,3
101,4
71,1
10,1
3,5
105,2
43,1
66,3
33,1
37,1
70,3
30,4
99,3
58,4
77,3
62,3
70,3
36,0
14,1
98,5
81,4
91,0
7,2
74,4
89,2
91,2
67,1
85,1
75,4
90,2
95,4
4,2
9,4
98,4
35,2
79,2
86,5
13,1
25,3
100,1
13,4
48,5
46,0
4,2
60,0
45,1
93,3
83,4
98,4
87,1
98,3
84,0
32,1
81,5
41,2
70,2
100,0
45,2
66,2
65,5
54,3
53,3
11,1
62,1
99,5
92,3
22,5
39,5
74,1
26,2
46,2
62,4
83,4
39,5
69,4
12,4
85,3
32,5
89,4
99,2
37,2
81,2
91,0
56,3
27,1
26,3
82,1
79,4
101,2
97,5
57,4
49,5
85,4
70,2
65,5
55,0
0,3
15,0
79,3
14,2
73,1
94,2
11,3
46,2
30,2
22,4
43,4
39,0
58,3
44,0
83,1
7,2
96,2
66,3
46,3
71,2
96,2
80,1
100,4
31,0
98,4
52,1
46,0
97,4
42,2
21,3
102,2
81,1
75,2
81,5
17,2
96,3
30,0
56,2
71,3
67,3
70,4
88,4
42,2
79,0
7,5
65,5
40,3
43,3
83,4
94,5
74,2
22,2
15,2
29,3
14,0
68,5
98,3
100,2
75,1
81,2
63,1
83,3
22,3
36,3
81,4
38,1
9,1
27,0
30,4
53,4
89,1
16,5
34,5
39,4
8,2
13,3
72,1
21,2
99,4
83,0
56,2
80,2
70,4
74,2
79,3
45,3
7,2
56,1
60,5
46,5
75,4
14,5
65,1
93,3
95,3
12,0
84,3
82,0
74,1
60,1
4,1
17,2
76,4
67,2
94,0
28,0
5,1
69,1
47,4
42,4
62,3
56,4
55,1
29,0
38,3
18,4
97,3
80,0
13,2
57,2
55,0
37,4
83,3
35,4
19,1
54,5
37,2
35,2
92,1
25,2
54,2
57,4
67,4
82,1
80,1
21,3
10,4
11,4
12,4
53,5
85,3
44,4
52,1
83,2
59,4
56,5
75,4
96,5
56,5
34,1
7,4
79,4
84,2
65,2
20,0
84,4
45,1
32,3
29,0
95,0
54,5
57,5
72,4
11,3
3,2
96,1
90,2
77,4
12,1
20,2
106,3
38,3
41,0
35,3
40,1
27,1
100,4
94,0
52,3
88,4
86,2
23,1
103,1
31,4
73,5
22,4
27,0
26,5
48,3
31,4
24,2
19,5
73,0
49,4
90,1
46,1
55,2
3,2
17,1
75,1
13,3
94,3
107,4
60,1
76,4
20,3
35,4
54,3
28,1
50,4
2,4
71,1
101,4
15,0
17,4
36,4
29,5
15,4
5,1
45,4
8,3
12,5
9,0
11,1
47,5
79,3
87,2
50,5
57,4
9,4
81,4
31,4
9,2
80,3
6,2
54,2
69,2
46,0
80,2
68,1
76,5
49,0
80,1
30,1
18,5
97,4
18,3
102,0
93,1
93,1
15,3
51,4
41,3
26,2
37,3
13,2
23,0
65,2
45,4
66,4
101,2
97,1
81,4
37,1
64,2
10,4
20,3
100,2
64,0
32,0
95,0
25,2
25,2
14,1
44,0
90,1
10,3
95,0
85,1
35,3
90,4
17,5
13,1
59,2
84,3
30,2
3,2
93,2
88,1
80,4
11,4
61,5
74,2
17,5
82,5
86,1
60,3
63,1
61,1
52,1
18,3
60,2
12,2
64,2
88,5
86,2
34,2
9,2
17,2
74,2
67,2
30,4
91,0
15,0
24,4
106,4
31,3
87,4
31,1
55,2
19,0
87,1
78,3
32,0
95,4
34,5
59,2
87,4
42,5
76,1
59,3
43,0
75,1
58,0
21,1
20,0
16,1
97,1
85,2
73,2
1,2
38,0
5,0
89,1
40,5
27,3
33,1
25,3
6,2
25,3
79,3
73,2
95,4
68,1
96,1
49,5
41,0
63,4
85,1
59,2
41,5
63,3
98,0
35,4
102,3
101,2
38,5
96,1
18,4
104,4
43,5
38,3
72,4
27,2
78,5
9,0
91,1
45,3
67,0
29,1
91,1
90,1
10,3
88,4
79,1
45,1
24,2
87,0
45,4
74,2
25,4
26,4
13,1
18,5
33,5
10,0
29,2
56,3
78,1
56,4
99,4
91,1
93,2
26,2
6,0
11,4
15,2
13,0
39,2
40,2
74,3
68,1
36,3
8,2
7,2
42,4
37,4
96,3
54,4
85,3
92,2
14,2
6,1
55,5
29,2
98,4
2,0
85,2
10,4
84,0
19,1
14,4
81,5
30,5
79,3
56,1
98,2
28,2
29,5
43,1
59,3
18,4
97,0
85,1
59,3
70,2
102,4
13,3
101,1
101,3
27,5
15,5
101,2
32,0
101,0
99,5
48,2
6,3
98,1
91,0
47,3
59,2
25,0
25,5
95,4
10,1
97,4
54,1
31,4
4,4
8,1
74,3
20,0
87,2
41,1
61,3
13,4
55,4
55,3
36,3
58,3
19,3
67,4
83,0
64,4
95,1
69,2
93,1
65,5
98,4
16,1
86,2
83,4
92,1
10,4
38,5
14,5
32,2
81,1
20,0
81,4
12,2
22,2
60,2
70,0
60,0
7,1
21,1
57,5
31,1
67,3
91,5
93,0
