X,Y
52,1
51,2
67,4
68,0
67,3
13,5
91,4
21,0
37,0
94,5
74,0
94,4
89,0
16,2
63,3
70,2
42,4
88,4
47,4
95,3
89,4
41,4
27,1
79,0
74,5
17,1
27,2
83,2
70,1
83,1
51,5
72,2
91,3
99,4
91,3
54,3
30,1
21,4
25,4
18,2
47,4
38,0
74,3
18,4
62,0
36,2
32,1
80,0
26,4
37,4
81,2
56,0
32,2
38,3
5,2
4,2
42,1
61,2
5,4
40,2
23,1
87,2
6,1
44,1
64,3
32,1
7,1
70,4
42,2
64,3
42,0
15,1
54,4
91,1
98,1
6,1
14,1
102,2
53,0
12,1
51,1
92,0
83,2
75,1
13,5
75,1
47,0
5,0
82,1
57,2
86,3
16,1
23,1
108,4
64,4
25,3
86,4
22,4
90,1
50,3
55,4
70,1
48,1
42,4
68,4
101,1
70,3
94,1
2,1
52,0
39,5
39,3
56,2
101,3
12,0
101,3
43,4
84,0
23,1
80,3
6,2
13,4
44,3
64,2
32,1
62,1
10,0
105,1
66,2
44,2
98,3
72,2
89,1
50,5
101,1
21,0
90,0
52,4
30,3
19,0
49,0
61,5
71,4
36,3
15,4
94,3
46,2
11,3
7,4
58,2
83,2
35,2
55,3
1,3
46,2
27,1
52,3
50,2
61,2
69,3
82,4
37,1
27,1
5,4
11,5
103,1
98,0
19,3
42,2
77,2
20,4
95,1
74,3
33,1
68,2
53,5
70,0
70,1
16,1
105,5
9,5
70,1
14,3
89,1
82,4
79,2
56,3
21,3
32,4
33,4
22,5
28,0
81,1
63,4
70,4
92,4
41,5
40,1
74,4
93,3
35,1
19,1
74,2
56,1
26,0
79,2
44,3
18,2
42,1
55,2
85,4
12,1
47,3
101,4
4,4
104,3
46,4
97,4
32,2
68,3
82,3
5,1
79,2
39,2
91,2
65,5
70,5
96,4
49,0
35,5
19,0
90,2
15,2
56,1
41,3
33,2
2,4
31,2
83,2
95,4
29,1
56,3
58,1
46,2
23,2
59,2
33,3
69,4
40,2
40,1
16,4
78,1
43,5
31,3
5,4
53,2
91,3
55,5
12,4
31,4
9,3
10,4
34,3
52,4
73,3
40,4
69,1
87,2
98,2
53,4
34,0
37,4
92,2
41,4
7,2
38,2
4,4
78,0
37,3
73,1
53,3
81,2
65,2
8,3
64,4
7,2
89,3
35,1
93,0
42,2
37,0
51,0
27,1
69,1
40,4
30,4
32,4
37,3
26,4
22,1
102,2
87,2
2,2
72,4
21,3
47,2
68,1
100,1
87,2
47,3
40,3
75,2
25,1
32,0
21,4
72,0
73,4
21,4
101,5
46,2
83,3
56,2
50,1
95,0
52,0
21,3
81,5
96,2
105,3
95,3
73,5
29,0
89,1
64,2
7,4
90,5
66,1
24,3
38,4
96,1
26,2
67,4
70,4
51,4
12,1
65,1
98,1
100,4
92,2
39,3
24,3
77,2
78,3
89,1
21,4
62,0
86,5
62,3
69,1
75,1
97,1
43,0
28,0
37,1
48,1
18,2
88,2
29,3
21,3
87,3
71,5
26,3
107,5
84,3
12,1
73,5
66,1
13,1
12,4
4,2
8,5
79,4
79,1
61,3
20,3
4,3
40,4
95,1
50,3
27,2
80,3
56,4
58,1
97,1
53,2
106,3
24,1
35,2
56,3
32,4
57,4
63,5
49,3
59,3
25,1
48,5
92,1
74,4
72,1
57,2
48,4
99,3
63,2
81,1
30,3
42,1
59,5
55,1
81,4
49,2
21,1
71,5
45,1
47,1
11,2
16,2
14,2
88,5
29,3
81,4
90,0
9,3
102,2
10,0
84,1
76,3
85,4
93,4
75,0
60,0
18,3
56,5
29,5
28,5
11,3
58,2
95,2
33,3
54,4
26,2
20,4
104,0
62,3
24,2
31,1
36,2
39,0
55,2
58,3
89,4
9,3
14,1
61,5
5,1
90,4
38,5
90,1
22,3
7,2
44,1
71,1
28,0
36,1
74,2
89,4
48,4
14,3
98,4
96,5
46,1
68,2
34,4
29,2
76,4
10,5
69,1
93,0
43,4
92,4
85,4
20,2
75,1
104,3
100,2
52,4
5,4
17,4
63,2
1,2
0,1
39,3
26,4
65,2
41,2
99,4
70,1
12,2
11,5
98,2
48,0
64,2
41,1
30,2
74,3
32,3
105,3
52,4
80,2
57,3
76,3
33,1
13,1
96,5
74,4
85,0
13,1
75,3
87,1
95,1
67,1
87,0
80,4
90,2
103,3
4,2
12,3
98,4
35,3
76,2
92,4
7,1
24,3
97,0
8,3
51,5
48,1
4,3
52,1
40,0
93,3
82,5
101,4
92,1
98,4
84,0
29,1
83,4
32,3
77,3
97,1
48,1
63,3
62,5
57,2
50,3
7,1
58,1
95,5
91,4
18,4
37,4
73,1
25,2
53,3
65,4
87,5
43,4
64,3
7,4
84,2
37,4
94,3
100,1
41,2
80,1
95,0
56,3
30,0
22,3
79,0
81,4
102,1
93,4
53,3
51,5
81,3
67,2
63,4
50,0
6,3
19,1
84,3
17,1
74,1
102,2
7,3
45,2
35,3
22,5
47,3
38,0
56,4
46,1
83,1
9,2
97,1
68,4
50,3
68,3
94,3
80,2
94,5
39,1
96,4
54,0
49,0
93,4
38,1
18,2
97,1
80,2
69,2
76,5
19,2
93,2
29,1
64,2
73,3
72,3
72,5
97,5
41,1
80,0
8,5
60,4
41,2
50,3
89,3
88,4
76,2
22,2
7,2
34,4
7,1
75,5
101,3
97,2
69,1
79,3
63,1
80,3
26,2
36,3
84,3
38,2
17,2
31,0
21,5
50,3
95,2
16,5
25,4
44,5
8,2
8,3
73,1
15,2
96,3
78,0
57,2
78,1
66,4
80,2
75,3
52,3
7,1
56,1
59,5
44,5
74,5
12,5
63,1
100,3
98,3
4,1
79,2
83,1
72,2
65,2
7,1
24,1
74,3
70,1
100,0
26,1
11,1
71,2
46,3
44,4
58,4
49,3
56,1
27,0
42,3
26,5
99,2
80,0
11,3
61,1
47,1
39,3
90,2
34,4
21,2
54,5
32,3
43,1
94,1
26,1
47,2
58,4
70,4
76,0
80,1
26,3
9,4
7,3
9,4
55,5
77,3
46,5
55,1
87,1
55,4
53,5
76,4
93,4
49,4
31,2
11,4
77,3
89,2
67,2
21,0
80,5
48,1
29,3
28,1
93,1
59,5
54,5
69,5
9,3
4,1
90,0
99,1
73,5
13,1
14,2
101,3
39,4
47,1
41,3
40,1
28,1
99,4
93,0
55,3
93,4
